location,longitude,latitude,start,end,epiUnit
Delbrück,8.52,51.74,11/29/2021,1/2/2022,Farm
Kamp-Lintfort,6.467,51.5,4/10/2022,5/22/2022,Farm
Wipperfürth,7.4,51.11,1/27/2022,3/6/2022,Backyard
Dortmund,7.4,51.49,1/24/2022,3/2/2022,Backyard
Hamminkeln,6.65,51.75,12/10/2021,1/12/2022,Farm
Delbrück,8.57,51.81,11/30/2021,1/2/2022,Farm
Delbrück,8.5,51.74,11/28/2021,1/1/2022,Backyard
Delbrück,8.55,51.82,11/28/2021,1/1/2022,Farm
Delbrück,8.49,51.74,11/22/2021,12/26/2021,Farm
Lippstadt,8.4,51.66,11/19/2021,12/22/2021,Farm
Delbrück,8.45,51.77,11/16/2021,12/20/2021,Farm
Delbrück,8.42,51.72,11/16/2021,12/19/2021,Farm
