id,oieReference,nationalReference,adminDivision,location,epiUnitType,clusterCount,startDate,endDate,createdByReportId,lastUpdateReportId,longitude,latitude,description,speciesNumber,start,end,epiUnit
107598,ob_107598,22/00895-3,Tórshavn,Havnardalur,Backyard,1,2022-10-02T23:00:00.000+00:00,2022-11-25T00:00:00.000+00:00,157423,158049,-6.7979,61.9978,,1,10/2/2022,11/24/2022,Backyard
104498,ob_104498,,Skúvoy,Skúvoy,Other,1,2022-05-09T00:00:00.000+00:00,2022-05-08T23:00:00.000+00:00,156019,157613,-6.8252,61.7661,,2,5/8/2022,5/8/2022,Other
104499,ob_104499,,Sørvágs,Sørvágur,Other,1,2022-05-09T00:00:00.000+00:00,2022-05-08T23:00:00.000+00:00,156019,157613,-7.3044,62.0704,,1,5/8/2022,5/8/2022,Other
104624,ob_104624,,Tórshavn,Velbastaður,Other,1,2022-05-21T00:00:00.000+00:00,2022-05-20T23:00:00.000+00:00,156064,157613,-6.8541,61.9826,,1,5/20/2022,5/20/2022,Other
104625,ob_104625,,Tórshavn,Hvítanes,Other,1,2022-06-18T00:00:00.000+00:00,2022-06-17T23:00:00.000+00:00,156064,157423,-6.7715,62.0448,,1,6/17/2022,6/17/2022,Other
107588,ob_107588,22/00895-1,Klaksvík,Borðoyarvík,Other,1,2022-09-19T23:00:00.000+00:00,2022-09-19T23:00:00.000+00:00,157423,157423,-6.5711,62.2244,,1,9/19/2022,9/19/2022,Other
107590,ob_107590,22/00895-1 (1),Tórshavn,Tórugøta,Other,1,2022-09-17T23:00:00.000+00:00,2022-09-17T23:00:00.000+00:00,157423,157423,-6.7929,62.0308,,1,9/17/2022,9/17/2022,Other
107594,ob_107594,22/00895-1 (3),Tórshavn,Nólsoy,Other,1,2022-06-14T23:00:00.000+00:00,2022-06-14T23:00:00.000+00:00,157423,157423,-6.6721,62.0089,,1,6/14/2022,6/14/2022,Other
107595,ob_107595,22/00895-1 (4),Tórshavn,Nólsoy,Other,1,2022-09-18T23:00:00.000+00:00,2022-09-18T23:00:00.000+00:00,157423,157423,-6.6726,62.0093,,1,9/18/2022,9/18/2022,Other
107596,ob_107596,22/00895-1 (5),Skúvoy,Skúgvoy,Other,1,2022-07-21T23:00:00.000+00:00,2022-07-21T23:00:00.000+00:00,157423,157423,-6.8238,61.7652,,1,7/21/2022,7/21/2022,Other
107593,ob_107593,22/00895-1 (2),Klaksvík,Helnabrekka,Other,1,2022-09-22T23:00:00.000+00:00,2022-09-22T23:00:00.000+00:00,157423,157423,-6.5894,62.2366,,1,9/22/2022,9/22/2022,Other
104628,ob_104628,,Sunda,Saksun,Other,1,2022-06-04T00:00:00.000+00:00,2022-06-03T23:00:00.000+00:00,156064,157423,-7.1806,62.2474,,1,6/3/2022,6/3/2022,Other
104626,ob_104626,,Eystur,Syðrugøta,Other,1,2022-06-11T00:00:00.000+00:00,2022-06-10T23:00:00.000+00:00,156064,157423,-6.753,62.1859,,1,6/10/2022,6/10/2022,Other
104631,ob_104631,,Vágur,Vágur,Other,1,2022-05-16T00:00:00.000+00:00,2022-05-15T23:00:00.000+00:00,156064,157423,-6.812,61.4748,,1,5/15/2022,5/15/2022,Other
