location,longitude,latitude,start,end,epiUnit
Currie, City of Edinburgh,-3.32,55.91,1/29/2023,2/23/2023,Other
Larbert, Falkirk ,-3.84,56.01,1/25/2023,2/22/2023,Other
Woodend, Fife,-2.76,56.3,1/27/2023,2/19/2023,Other
Christleton, Cheshire,-2.83,53.18,12/6/2022,2/22/2023,Other
Martin Mere, Lancashire ,-2.86,53.66,10/5/2022,2/20/2023,Other
Appleby-in-Westmorland, Eden,-2.46,54.55,2/14/2023,12/31/1969,Backyard
Redburn, Northumberland  ,-2.37,54.96,1/24/2023,1/24/2023,Other
Fleetwood, Lancashire  ,-3.04,53.91,2/20/2023,2/20/2023,Other
Poynton, Cheshire  ,-2.11,53.35,2/20/2023,2/20/2023,Other
Moreton Say, Shropshire  ,-2.53,52.91,2/20/2023,2/20/2023,Other
Witherley, Leicestershire,-1.51,52.56,2/21/2023,2/21/2023,Other
Windsor, Berkshire,-0.59,51.47,1/3/2023,12/31/1969,Other
Limpenhoe, Norfolk ,1.53,52.58,1/11/2023,12/31/1969,Other
Nairn, Moray,-3.63,57.6,12/5/2022,2/21/2023,Backyard
Napton on the Hill, Kenilworth and Southam ,-1.32,52.21,11/15/2022,2/22/2023,Backyard
Hale, Halton ,-2.81,53.33,11/1/2022,2/13/2023,Backyard
Hale, Halton ,-2.81,53.33,11/4/2022,2/13/2023,Backyard
March, Fenland,0.1,52.56,10/28/2022,2/25/2023,Backyard
Witham, Braintree,,0.6,51.83,10/8/2022,2/9/2023,Backyard
Kirkham, Fylde,-2.84,53.81,10/5/2022,2/6/2023,Backyard
Burscough, Lancashire,-2.86,53.62,9/25/2022,1/26/2023,Other
Warter, East Riding of Yorkshire ,-0.69,53.93,10/27/2022,11/28/2022,Other
Rosewells, Fife  ,-2.93,56.28,2/15/2023,2/15/2023,Other
Bow of Fife, Fife  ,-3.09,56.3,2/15/2023,2/15/2023,Other
Bettws, Powys  ,-3.29,52.56,2/13/2023,2/13/2023,Other
Wormald Green, North Yorkshire,-1.55,54.08,11/10/2022,2/13/2023,Other
Blewbury, Oxfordshire  ,-1.23,51.56,2/8/2023,2/8/2023,Other
Wolsingham, Durham,-1.9,54.76,12/28/2022,2/13/2023,Other
Ruaig, Argyll and Bute ,-6.787,56.5284,2/4/2023,2/4/2023,Other
Kirkton of Skene, Aberdeenshire,-2.35,57.16,12/21/2022,2/2/2023,Other
Atherton, Greater Manchester ,-2.49,53.52,2/6/2023,2/6/2023,Other
Kettlethorpe, West Yorkshire,-1.5,53.65,10/18/2022,2/8/2023,Other
Stirling, Stirling,-4.01,56.12,2/11/2023,12/31/1969,Backyard
Newtown, Powys,-3.31,52.58,2/7/2023,12/31/1969,Backyard
Appleby-in-Westmorland, Eden,-2.42,54.57,2/3/2023,12/31/1969,Backyard
Newtown, Powys,-3.29,52.57,2/1/2023,12/31/1969,Backyard
