location,longitude,latitude,start,end,epiUnit,eventID,animal type,outbreakNumber,species,death,cases,susceptible,killed,slaughtered,First administrative division
Village Rrashbull Commune Rrashbull District Durresi,19.4967,41.3235,3/16/2022,4/7/2022,Farm,4363,domestic,99278,Birds,2905,5100,132600,129695,0,Durrës
Village Rreth Kale Commune Muhurr District Diber,20.3337,41.6844,3/18/2022,4/7/2022,Backyard,4363,domestic,100028,Birds,147,147,147,0,0,Dibër
Village Plase Commune Pojan District Korcë,20.8419,40.6787,3/22/2022,3/23/2022,Backyard,4363,domestic,100030,Birds,97,120,470,373,0,Korçë
FARM 6,20.063661,42.331061,6/4/2021,6/6/2021,Backyard,3760,domestic,86996,Birds,1,1,2,1,0,Kukës
Village Gure Commune Gradishte District,19.5328,40.887,3/21/2022,3/25/2022,Backyard,4363,domestic,99917,Birds,30,30,30,0,0,Fier
Farm 5,20.08013,41.5634,6/8/2021,6/14/2021,Backyard,3760,domestic,86995,Birds,14,2,16,2,0,Dibër
farm 4,19.5616,41.1329,6/9/2021,6/14/2021,Backyard,3760,domestic,86985,Birds,95,55,150,55,0,Tiranë
Nature Poultry Farm Dandlawar,77.05438,30.56452,1/1/2021,2/17/2023,Farm,3495,domestic,80547,Birds,3873,5680,18693,14820,0,Haryana
Abu Graib -  AlThahab Alabidh,44.2555,33.3112,6/5/2022,6/15/2022,Farm,4477,domestic,103893,Birds,600,31000,31000,30400,0,Baghdad
Tara Poultry Farm Batour Barwala,76.9566,30.5472,12/31/2020,2/17/2023,Farm,3495,domestic,91023,Birds,43175,98130,98130,54955,0,Haryana
TajAL-Din,44.92,32.96099,5/17/2022,6/10/2022,Farm,4477,domestic,103698,Birds,40208,40208,158000,117792,0,Wasit
Maharaja Poultry Farm Khatouli Barwala,76.9729,30.5905,12/31/2020,2/17/2023,Farm,3495,domestic,91022,Birds,36660,98452,98452,61792,0,Haryana
RUHAMA,34.705338,31.494373,5/5/2022,5/7/2022,Other,4437,wild,103093,White Stork,1,1,0,0,0,HaDarom
Siddharth Poultry Farm Kheri,76.99781,30.56125,1/1/2021,2/17/2023,Farm,3495,domestic,80546,Birds,24254,33680,300256,180420,0,Haryana
PETAH TIQWA,34.887503,32.086522,4/14/2022,4/16/2022,Other,4437,wild,102505,Eurasian Sparrowhawk,1,1,0,0,0,HaMerkaz
Izumi-City1,130.3532,32.0906,11/13/2021,12/7/2021,Farm,4038,domestic,92604,Birds,3,3,9200,9197,0,Kagoshima
Yokote-City1,140.5666,39.3137,11/8/2021,12/11/2021,Farm,4038,domestic,92088,Birds,89,89,143000,142911,0,Akita
Oued Taga,6.4283,35.4523,2/21/2021,2/21/2021,Forest,3631,wild,83384,Redwing,3,3,0,0,0,Batna
Aïn Fakroun,6.8263,35.917,1/16/2021,2/20/2021,Farm,3548,domestic,82053,Birds,50000,51200,51200,1200,0,Oum el Bouaghi
Tartu,26.707087,58.376077,10/20/2021,11/21/2021,Backyard,3571,domestic,91910,Birds,0,1,4,4,0,Tartu
Seriana,6.2098,35.6741,2/21/2021,3/14/2021,Backyard,3548,domestic,83148,Birds,380,20,400,0,0,Batna
Hongjiannao National Nature Reserve Erlintu Town,109.944161,39.087588,5/27/2021,8/9/2021,Natural park,3757,wild,86529,Black-necked Grebe,4249,4249,0,0,0,Shaanxi
Herkeli,24.323405,59.328315,3/21/2021,4/30/2021,Farm,3571,domestic,83450,Birds,1,1,24,23,0,Harju
PAASKÜLA,26.455205,59.48054,2/16/2021,3/22/2021,Farm,3571,domestic,82693,Birds,7,7,78,71,0,Lääne-Viru
Cuona Lake Zharen Town,91.538088,31.909941,5/11/2021,7/20/2021,Other,3727,wild,86025,Bar-headed Goose,85,85,0,0,0,Xizang
Bangcuo Lake National Wetland Park Luoma Town,91.768611,31.300555,5/10/2021,7/20/2021,Natural park,3727,wild,86023,Bar-headed Goose,183,183,0,0,0,Xizang
Yuntai Mountain scenic area,119.259919,34.610899,1/28/2021,4/5/2021,Natural park,3545,wild,81820,Mandarin Duck,17,17,647,0,0,Jiangsu
Yuanmingyuan Ruins Park,116.3107,40.009991,1/24/2021,3/29/2021,Natural park,3535,wild,81668,Black Swan,3,3,15,0,0,Beijing
Nanhu areaMajiatan Town,106.77966,37.783334,6/10/2021,8/21/2021,Other,3775,wild,86938,Black-necked Grebe,38,38,0,0,0,Ningxia Hui
Pewsey,-1.87,51.34,11/6/2021,11/6/2021,Other,4350,wild,98678,Mute Swan,1,1,0,0,0,England
San Nicolas,120.817973,15.116135,2/27/2022,3/7/2022,Farm,4370,domestic,99675,Birds,0,10,2573,2573,0,Pampanga
Feddet strand,9.987,55.208,9/29/2021,9/29/2021,Not applicable,4412,wild,101583,Harbor Seal,1,1,0,0,0,Veterinary Inspection Unit East
Ekängsdalen,15.658133,58.361123,10/12/2021,10/12/2021,Other,4021,wild,91897,Canada Goose,1,1,0,0,0,Östergötland
Swan scenic area Zhangcun Township,111.1458795,34.8307414,11/18/2020,1/27/2021,Natural park,3417,wild,78739,Mute Swan,2,2,4000,0,0,Shanxi
Trung Son,107.0192,16.9609,12/21/2021,1/21/2022,Village,3790,domestic,94789,Birds,260,510,849,589,0,Quảng Trị
Ai Nghia,108.1182,15.8923,12/21/2021,1/21/2022,Village,3790,domestic,94788,Birds,100,200,450,350,0,Quảng Nam
Olingen,6.328,49.673,9/2/2021,12/31/1969,Backyard,3929,domestic,90618,Birds,14,14,60,46,0,Grevenmacher
Quang Dien,107.7464,21.4297,12/14/2021,1/14/2022,Village,3790,domestic,94787,Birds,150,300,500,350,0,Quảng Ninh
Borris,8.685,55.9495,1/2/2022,1/2/2022,Not applicable,4211,wild,95895,Whooper Swan,1,1,0,0,0,Veterinary Inspection Unit North
Stoholm,9.0676,56.4947,1/5/2022,1/7/2022,Farm,4239,domestic,95402,Birds,0,0,100000,100000,0,Veterinary Inspection Unit North
trieu thuong,107.1156,16.7039,12/7/2021,1/7/2022,Village,3790,domestic,94786,Birds,1800,3250,5560,3760,0,Quảng Trị
Holstebro,8.6917,56.3477,12/12/2021,12/12/2021,Not applicable,4211,wild,94798,Whooper Swan,1,1,0,0,0,Veterinary Inspection Unit North
Ljubljana,14.473,46.063,12/9/2020,12/10/2020,Natural park,3406,wild,79360,Mute Swan,0,1,0,1,0,Osrednjeslovenska
Truc Thuan,106.191,20.2348,12/7/2021,1/7/2022,Village,3790,domestic,94785,Birds,480,520,1020,540,0,Nam Định
Ljubljana,14.473,46.063,12/8/2020,12/9/2020,Natural park,3406,wild,79359,Mute Swan,1,1,0,0,0,Osrednjeslovenska
Tra Son,108.1978,15.335,12/6/2021,1/6/2022,Village,3790,domestic,94783,Birds,200,550,800,600,0,Quảng Nam
Arlon,5.893571,49.647185,8/27/2021,2/8/2022,Backyard,3916,domestic,90771,Birds,5,5,5,0,0,Wallonie
Khanh Duong,106.0096,20.1836,11/30/2021,12/31/2021,Village,3790,domestic,94781,Birds,560,1000,2294,1734,0,Ninh Bình
Chiny,5.375545,49.694152,8/30/2021,2/8/2022,Backyard,3916,domestic,90650,Birds,5,5,9,4,0,Wallonie
Ljubljana,14.473,46.063,12/1/2020,12/3/2020,Natural park,3406,wild,78984,Mute Swan,1,1,0,0,0,Osrednjeslovenska
Parroquia de Lapmezciema,23.5122,57.0117,3/15/2021,3/16/2021,Not applicable,3550,wild,83089,Mute Swan,1,1,0,0,0,Engures
Piran,13.612341,45.533363,11/16/2020,11/24/2020,Other,3406,wild,78612,Mute Swan,2,2,0,0,0,Obalno-kraška
Yen Dong,105.9606,20.0944,11/30/2021,12/31/2021,Village,3790,domestic,94780,Birds,135,215,529,394,0,Ninh Bình
Jurmala city,23.9156,57.0035,3/10/2021,3/11/2021,Not applicable,3550,wild,82831,Mute Swan,2,2,0,0,0,Latvian Exclusive Economic Zone
Menen,3.21423,50.79919,8/29/2021,2/8/2022,Other,3916,domestic,90433,Birds,80,80,348,268,0,Vlaanderen
Quang Minh,107.7796,21.4782,11/6/2021,12/6/2021,Village,3790,domestic,94778,Birds,2000,3200,5000,3000,0,Quảng Ninh
Jurmala city,23.8347,56.9837,3/9/2021,3/10/2021,Not applicable,3550,wild,82830,Mute Swan,1,1,0,0,0,Jûrmala
Binh Duong,108.7684,15.3333,11/21/2021,12/21/2021,Village,3790,domestic,94777,Birds,300,600,800,500,0,Quảng Ngãi
Jurmala city,23.5936,56.9729,3/3/2021,3/4/2021,Not applicable,3550,wild,82829,Greater Scaup;Mute Swan,10,10,0,0,0,Latvian Exclusive Economic Zone
