country,location,longitude,latitude,start,end,epiUnit,species,death,cases,animale type,event_id,outbreak_id
Spain,Vitoria-Gasteiz,-2.66087,42.84443,2/23/2023,12/31/1969,Other,Black-headed Gull,0,1,wild,4928,115646
Germany,Mühlhausen/Thüringen,10.429,51.202,1/23/2023,12/31/1969,Not applicable,Anatidae (unidentified),1,1,wild,4381,115040
Panama,Vistamar,-79.94976,8.49227,3/9/2023,12/31/1969,Other,Brown Pelican,2,2,wild,4789,115724
Türkiye,Kocabas,29.3012,37.8151,2/22/2023,12/31/1969,Farm,Birds,2000,30781,domestic,4878,114584
France, Congis-sur-Thérouanne (77126) ,2.9767878919,48.998396433,2/9/2023,2/20/2023,Natural park,Red Fox,1,1,wild,4941,114866
India,Government Poultry Farm Bokaro,86.1382,23.6292,2/1/2023,12/31/1969,Farm,Birds,2615,2615,domestic,4950,115278
Germany,Karlsfeld,11.46,48.22,3/12/2023,3/12/2023,Not applicable,Laridae (unidentified),1,1,wild,4026,115725
Germany,Lahnau,8.56,50.57,2/22/2023,12/31/1969,Not applicable,Laridae (unidentified),0,1,wild,4256,114825
Russia,Komsomol'skaya,136.920542,50.590526,10/22/2022,3/5/2023,Farm,Birds,381314,381314,domestic,4690,108372
Nepal,Chunikhel Lalitpur metropolitan city-22,85.304177,27.617146,2/22/2023,12/31/1969,Farm,Birds,3600,3600,domestic,4884,115760
Hungary,Ács,17.98432,47.738884,3/3/2023,12/31/1969,Other,Birds,0,0,domestic,4834,115256
Germany,Nindorf,9.11,54.08,3/13/2023,12/31/1969,Farm,Birds,20,20,domestic,4530,115942
Cuba,Jardín zoológico de La Habana,-82.3972,23.1108,2/3/2023,12/31/1969,Zoo,Indian Peafowl;Eurasian Sparrowhawk;Common Guineafowl;Mallard;Greater Flamingo;Andean Condor;Ostrich,4,4,wild,4895,113772
Cuba,Jardín zoológico de La Habana,-82.3972,23.1108,2/3/2023,12/31/1969,Zoo,Birds,0,0,domestic,4895,113772
Hungary,Csengele,19.8481,46.5393,11/26/2022,12/1/2022,Farm,Birds,0,0,domestic,4706,109885
United Kingdom,Castletown Rushen Isle of Man,-4.65,54.077,2/27/2023,2/27/2023,Other,Greater White-fronted Goose,1,1,wild,4954,115423
Romania,CODLEA,25.461333,45.736138,1/31/2023,2/1/2023,Natural park,Common Raven,2,2,wild,4730,113439
Nigeria,Birnin Kebbi Central Market,4.20653,12.44144,6/26/2008,6/26/2008,Not applicable,Birds,0,1,domestic,510,10876
Bolivia,Sacaba,-65.98806,-17.41183,1/31/2023,2/6/2023,Other,Blue-and-white swallow,4,4,wild,4901,114086
Italy,Catania,14.2535,37.4718,2/16/2006,2/24/2006,Not applicable,Wildlife (species unspecified),1,1,wild,95,1749
Czech Republic,Chocen,16.2261,49.9835,7/10/2007,8/9/2007,Farm,Birds,0,0,domestic,266,4506
Germany,Gescher,7.01,51.96,3/9/2023,3/12/2023,Not applicable,Anatidae (unidentified),2,2,wild,4128,115738
Sweden,Ekerö,17.649828,59.330899,2/18/2023,2/18/2023,Other,Mute Swan,1,1,wild,4833,115117
Iran,Nogardan,52.33643,36.40691,6/11/2015,7/28/2015,Village,Birds,17,19,domestic,1771,35903
Switzerland,Feuerthalen 2,8.65,47.69,3/9/2006,6/11/2006,Not applicable,Wildlife (species unspecified),1,1,wild,151,2338
Malaysia,Permatang Bogak,100.413888,5.531944,3/17/2006,3/21/2006,Village,Birds,6,6,domestic,120,1948
Germany,Dossenheim,8.638,49.442,3/6/2023,3/6/2023,Not applicable,Laridae (unidentified),1,1,wild,4101,115719
Czech Republic,Lednice,16.8295,48.7843,6/25/2007,7/28/2007,Not applicable,Wildlife (species unspecified),1,1,wild,271,4075
United Kingdom,Knettishall,0.86437,52.39228,11/13/2007,4/28/2008,Farm,Birds,0,3,domestic,404,9705
Saudi Arabia,Al-Gamma,49.525,26.4412,3/11/2007,3/26/2007,Village,Birds,106,106,domestic,220,3463
Kuwait,Koweit,47.8971,29.3212,11/8/2005,11/8/2005,Not applicable,Wildlife (species unspecified),0,1,wild,162,2582
Niger,Niamey,2.14,13.48,1/6/2017,9/19/2017,Farm,Birds,2993,4893,domestic,1953,47307
Cote D'Ivoire,SO.GB,-6.586,4.63333,6/9/2006,1/30/2007,Village,Birds,5,5,domestic,64,3094
India,Kureepuzha Regional Poultry Farm,76.34,8.55,1/17/2015,6/22/2015,Farm,Birds,1628,1628,domestic,1648,34425
Azerbaijan,Karadag,49.6615,40.3157,1/28/2006,1/28/2006,Not applicable,Wildlife (species unspecified),1,1,wild,107,1886
Hong Kong,Mission Hill,114.168055,22.330277,1/6/2007,1/6/2007,Not applicable,Wildlife (species unspecified),1,1,wild,116,1919
United Kingdom,Upper Holton,1.525067,52.364697,1/26/2007,6/24/2007,Farm,Birds,2500,7000,domestic,127,2065
Laos,Latkhouay Farm,102.6615,18.0586,4/26/2010,5/26/2010,Farm,Birds,44,44,domestic,858,13874
