country,location,longitude,latitude,start,end,epiUnit,species,death,cases,animale type,event_id,outbreak_id
Hungary,Kiskunmajsa,19.727489,46.537062,3/4/2023,3/6/2023,Farm,Birds,66,66,domestic,4693,115578
Hungary,Jászszentlászló,19.790439,46.551046,2/13/2023,2/16/2023,Farm,Birds,0,0,domestic,4693,114273
Hungary,Bócsa,19.545341,46.635031,2/28/2023,3/2/2023,Farm,Birds,1095,1095,domestic,4693,115295
Hungary,Csólyospálos,19.84423,46.43207,11/25/2022,12/29/2022,Farm,Birds,465,465,domestic,4693,110002
Hungary,Bócsa,19.462954,46.598273,3/2/2023,12/31/1969,Farm,Birds,212,212,domestic,4693,115574
Hungary,Bócsa,19.439083,46.614164,3/7/2023,12/31/1969,Farm,Birds,0,0,domestic,4693,115579
Hungary,Bócsa,19.533666,46.631954,3/4/2023,12/31/1969,Farm,Birds,0,0,domestic,4693,115577
Hungary,Bugac,19.663231,46.675382,3/4/2023,12/31/1969,Farm,Birds,0,0,domestic,4693,115576
Hungary,Bugacpusztaháza,19.650317,46.698392,3/3/2023,12/31/1969,Farm,Birds,0,0,domestic,4693,115575
Hungary,Bócsa,19.530675,46.609697,3/1/2023,3/3/2023,Farm,Birds,1081,1081,domestic,4693,115296
Hungary,Kiskunmajsa,19.723605,46.550029,2/27/2023,3/8/2023,Farm,Birds,21,21,domestic,4693,114994
Hungary,Bócsa,19.444349,46.616224,2/26/2023,3/2/2023,Farm,Birds,0,0,domestic,4693,114993
Hungary,Bócsa,19.538858,46.607374,2/25/2023,2/28/2023,Farm,Birds,0,0,domestic,4693,114992
Hungary,Bócsa,19.532421,46.641252,2/24/2023,2/27/2023,Farm,Birds,0,0,domestic,4693,114990
Hungary,Kiskunfélegyháza,19.858434,46.765936,2/23/2023,2/24/2023,Farm,Birds,43,43,domestic,4693,114977
Hungary,Szank,19.6824,46.57088,2/19/2023,2/19/2023,Farm,Birds,74,74,domestic,4693,114974
Hungary,Szank,19.692088,46.569793,2/17/2023,2/20/2023,Farm,Birds,0,0,domestic,4693,114278
Hungary,Tázlár,19.486939,46.57233,2/16/2023,2/17/2023,Farm,Birds,0,0,domestic,4693,114274
Hungary,Tázlár,19.521271,46.55637,2/16/2023,2/17/2023,Farm,Birds,43,43,domestic,4693,114275
Hungary,Szank,19.663297,46.561767,2/16/2023,2/19/2023,Farm,Birds,0,0,domestic,4693,114277
Hungary,Szank,19.65379,46.56025,2/14/2023,2/16/2023,Farm,Birds,0,0,domestic,4693,114271
Hungary,Szank,19.643564,46.567675,2/1/2023,2/13/2023,Farm,Birds,277,277,domestic,4693,114009
Hungary,Kiskunmajsa,19.63963,46.52063,12/6/2022,12/7/2022,Farm,Birds,0,0,domestic,4693,110441
Hungary,Kiskunmajsa,19.74358,46.47573,2/14/2023,2/15/2023,Farm,Birds,0,0,domestic,4693,114272
Hungary,Császártöltés,19.158443,46.41728,1/3/2023,1/5/2023,Farm,Birds,149,149,domestic,4693,111745
Hungary,Kiskunfélegyháza,19.807464,46.689485,12/10/2022,12/18/2022,Farm,Birds,354,354,domestic,4693,110443
Hungary,Bócsa,19.462954,46.59827,12/8/2022,12/21/2022,Farm,Birds,30466,30466,domestic,4693,110442
Hungary,Kisszállás,19.530357,46.27629,12/5/2022,12/13/2022,Farm,Birds,264,264,domestic,4693,110439
Hungary,Kiskunmajsa,19.632469,46.52455,12/5/2022,12/13/2022,Farm,Birds,0,0,domestic,4693,110440
Hungary,Kiskunhalas,19.55766,46.42518,12/4/2022,12/12/2022,Farm,Birds,2461,2461,domestic,4693,110436
Hungary,Mélykút,19.389784,46.18163,12/4/2022,12/12/2022,Farm,Birds,460,460,domestic,4693,110438
Hungary,Szank,19.62569,46.565,12/3/2022,12/9/2022,Farm,Birds,1353,1353,domestic,4693,110435
Hungary,Móricgát,19.677088,46.63174,12/2/2022,12/8/2022,Farm,Birds,555,555,domestic,4693,110437
Hungary,Móricgát,19.653214,46.62563,12/1/2022,12/8/2022,Farm,Birds,62,62,domestic,4693,110077
Hungary,Kiskunmajsa,19.639443,46.516126,11/30/2022,12/10/2022,Farm,Birds,178,178,domestic,4693,110073
Hungary,Kiskunmajsa,19.648627,46.49747,11/30/2022,12/9/2022,Farm,Birds,731,731,domestic,4693,110074
Hungary,Bócsa,19.448554,46.61994,11/30/2022,12/9/2022,Farm,Birds,1000,1000,domestic,4693,110075
Hungary,Kiskunmajsa,19.656645,46.49915,11/28/2022,12/1/2022,Farm,Birds,217,217,domestic,4693,110076
Hungary,Kiskunhalas,19.604347,46.4389,11/27/2022,12/12/2022,Farm,Birds,365,365,domestic,4693,110071
Hungary,Tázlár,19.530264,46.54694,11/27/2022,12/12/2022,Farm,Birds,185,185,domestic,4693,110070
Hungary,Csólyospálos,19.83575,46.44869,11/26/2022,12/10/2022,Farm,Birds,0,0,domestic,4693,110066
Hungary,Jászszentlászló,19.7895,46.5464,11/26/2022,12/8/2022,Farm,Birds,0,0,domestic,4693,110067
