country,eventID,startDate,endDate
Russia,4690,2022-10-23T00:00:00.000+00:00,2023-03-06T00:00:00.000+00:00
Cuba,4895,2023-02-04T00:00:00.000+00:00,
Faeroe Islands,4512,2022-05-09T00:00:00.000+00:00,
Switzerland,4733,2022-11-14T00:00:00.000+00:00,
Lithuania,4333,2022-02-09T00:00:00.000+00:00,2022-09-29T00:00:00.000+00:00
United Kingdom,4954,2023-02-28T00:00:00.000+00:00,
Colombia,4668,2022-10-03T00:00:00.000+00:00,
Panama,4789,2022-12-14T00:00:00.000+00:00,
Italy,4953,2023-03-06T00:00:00.000+00:00,
South Africa,3733,2021-05-13T00:00:00.000+00:00,
South Africa,3649,2021-03-04T00:00:00.000+00:00,
Hungary,4706,2022-11-03T00:00:00.000+00:00,
Germany,4129,2021-11-06T00:00:00.000+00:00,
Türkiye,4878,2023-01-31T00:00:00.000+00:00,
Hungary,4750,2022-11-27T00:00:00.000+00:00,
Hungary,4784,2022-12-18T00:00:00.000+00:00,
India,4950,2023-02-02T00:00:00.000+00:00,
Germany,4026,2021-10-20T00:00:00.000+00:00,
Czech Republic,4836,2022-12-08T00:00:00.000+00:00,
Czech Republic,4763,2022-12-01T00:00:00.000+00:00,
Hungary,4834,2023-01-10T00:00:00.000+00:00,
Japan,4634,2022-01-11T00:00:00.000+00:00,
United States of America,4309,2022-02-07T00:00:00.000+00:00,
Germany,4025,2021-10-20T00:00:00.000+00:00,
Germany,4101,2021-11-15T00:00:00.000+00:00,
Germany,4012,2021-10-14T00:00:00.000+00:00,
Canada,4294,2022-01-27T00:00:00.000+00:00,
Hungary,4070,2021-11-04T00:00:00.000+00:00,
Spain,4928,2023-01-05T00:00:00.000+00:00,
Germany,4023,2021-10-13T00:00:00.000+00:00,
Germany,4874,2023-01-30T00:00:00.000+00:00,
Cambodia,4949,2023-02-24T00:00:00.000+00:00,
Austria,4710,2022-11-07T00:00:00.000+00:00,
United States of America,4451,2022-03-30T00:00:00.000+00:00,
Germany,4128,2021-11-26T00:00:00.000+00:00,
Poland,4063,2021-11-08T00:00:00.000+00:00,
United Kingdom,4644,2022-09-25T23:00:00.000+00:00,
United Kingdom,4643,2022-06-07T23:00:00.000+00:00,
Sweden,4833,2022-12-20T00:00:00.000+00:00,
Estonia,4945,2023-02-15T00:00:00.000+00:00,
Slovenia,4825,2022-12-24T00:00:00.000+00:00,
Austria,4847,2023-01-16T00:00:00.000+00:00,
Poland,4793,2022-12-15T00:00:00.000+00:00,
Romania,4730,2022-11-14T22:00:00.000+00:00,
Ireland,4735,2022-11-11T00:00:00.000+00:00,
Italy,4640,2022-09-22T00:00:00.000+00:00,
Chile,4775,2022-12-05T00:00:00.000+00:00,
Germany,4381,2022-03-04T00:00:00.000+00:00,
Germany,4131,2021-11-05T00:00:00.000+00:00,
United States of America,4247,2021-12-30T00:00:00.000+00:00,
Nepal,4884,2023-01-24T00:00:00.000+00:00,
Germany,4530,2022-07-14T00:00:00.000+00:00,
Belgium,4073,2021-11-05T00:00:00.000+00:00,
Canada,4191,2021-11-26T00:00:00.000+00:00,
Germany,4256,2021-12-31T00:00:00.000+00:00,
Germany,4127,2021-11-15T00:00:00.000+00:00,
Chinese Taipei,4753,2022-11-16T16:00:00.000+00:00,
Nepal,4937,2023-02-09T00:00:00.000+00:00,
Germany,4126,2021-11-15T00:00:00.000+00:00,
France,4941,2023-02-10T00:00:00.000+00:00,
Germany,4541,2022-07-19T00:00:00.000+00:00,
Slovenia,4926,2023-02-24T00:00:00.000+00:00,
Guatemala,4903,2023-01-26T00:00:00.000+00:00,
Germany,4215,2021-12-30T00:00:00.000+00:00,
Belgium,4621,2022-09-19T00:00:00.000+00:00,
Japan,4689,2022-10-27T00:00:00.000+00:00,
Poland,4770,2022-12-06T00:00:00.000+00:00,
Denmark,4028,2021-10-13T00:00:00.000+00:00,
France,4075,2021-11-08T00:00:00.000+00:00,
Mexico,4762,2022-10-26T00:00:00.000+00:00,
France,4116,2021-11-21T00:00:00.000+00:00,
Germany,4843,2023-01-16T00:00:00.000+00:00,
Moldova,4851,2023-01-19T00:00:00.000+00:00,2023-02-20T00:00:00.000+00:00
Chinese Taipei,4916,2023-01-14T00:00:00.000+00:00,
United Kingdom,4056,2021-10-31T00:00:00.000+00:00,2023-01-24T00:00:00.000+00:00
United Kingdom,4030,2021-10-14T00:00:00.000+00:00,2023-01-20T00:00:00.000+00:00
Ecuador,4748,2022-11-25T00:00:00.000+00:00,
Germany,4279,2022-01-24T00:00:00.000+00:00,
Bolivia,4901,2023-02-01T00:00:00.000+00:00,
Spain,4231,2021-12-22T00:00:00.000+00:00,2023-02-10T00:00:00.000+00:00
Bolivia,4870,2023-01-21T00:00:00.000+00:00,
Norway,4266,2022-01-04T00:00:00.000+00:00,
Russia,4846,2023-01-12T00:00:00.000+00:00,
Denmark,4787,2022-12-21T00:00:00.000+00:00,2023-01-18T00:00:00.000+00:00
United Kingdom,4809,2022-12-24T00:00:00.000+00:00,2023-01-30T00:00:00.000+00:00
India,4331,2022-02-02T00:00:00.000+00:00,2023-02-08T00:00:00.000+00:00
India,3496,2021-01-07T00:00:00.000+00:00,2023-02-08T00:00:00.000+00:00
Slovakia,4860,2023-01-13T00:00:00.000+00:00,
Italy,4716,2022-10-25T00:00:00.000+00:00,2022-12-31T00:00:00.000+00:00
Germany,4772,2022-12-01T00:00:00.000+00:00,2023-01-11T00:00:00.000+00:00
Bulgaria,4891,2023-01-24T00:00:00.000+00:00,2023-01-29T00:00:00.000+00:00
Germany,4637,2022-10-01T00:00:00.000+00:00,
Slovakia,4886,2023-01-31T00:00:00.000+00:00,
Slovenia,4671,2022-10-19T00:00:00.000+00:00,2022-12-29T00:00:00.000+00:00
Poland,4792,2022-12-14T00:00:00.000+00:00,
Israel,4742,2022-11-18T00:00:00.000+00:00,2023-01-13T00:00:00.000+00:00
Israel,4777,2022-11-27T00:00:00.000+00:00,2023-01-19T00:00:00.000+00:00
Spain,4786,2022-12-14T00:00:00.000+00:00,
Russia,4889,2023-01-26T00:00:00.000+00:00,2023-03-09T00:00:00.000+00:00
Netherlands,4031,2021-10-26T00:00:00.000+00:00,
Serbia,4859,2023-01-23T00:00:00.000+00:00,
Slovakia,3672,2021-04-21T00:00:00.000+00:00,2021-05-20T00:00:00.000+00:00
Germany,4130,2021-11-09T00:00:00.000+00:00,
Russia,4852,2023-01-11T00:00:00.000+00:00,
Germany,4840,2022-12-19T00:00:00.000+00:00,
Honduras,4824,2022-12-18T00:00:00.000+00:00,
Philippines,4376,2022-02-10T00:00:00.000+00:00,
Romania,4862,2023-01-26T00:00:00.000+00:00,
Philippines,4328,2022-01-06T00:00:00.000+00:00,
Germany,4714,2022-11-05T00:00:00.000+00:00,2022-12-13T00:00:00.000+00:00
Russia,4837,2023-01-05T00:00:00.000+00:00,
Sweden,4681,2022-09-27T00:00:00.000+00:00,2022-12-18T00:00:00.000+00:00
Russia,4719,2022-10-26T21:00:00.000+00:00,2022-12-03T00:00:00.000+00:00
Russia,4729,2022-11-13T00:00:00.000+00:00,2022-12-22T00:00:00.000+00:00
India,4701,2022-10-16T18:30:00.000+00:00,
Mexico,4675,2022-10-11T00:00:00.000+00:00,
North Macedonia,4705,2022-11-03T00:00:00.000+00:00,2023-01-09T00:00:00.000+00:00
Nigeria,3533,2020-12-17T00:00:00.000+00:00,
Serbia,4702,2022-11-01T00:00:00.000+00:00,2022-12-30T00:00:00.000+00:00
Greenland,4823,2022-03-28T00:00:00.000+00:00,
Latvia,4254,2022-01-17T00:00:00.000+00:00,2022-01-17T00:00:00.000+00:00
Niger,4817,2022-12-18T00:00:00.000+00:00,
Niger,4219,2021-12-31T00:00:00.000+00:00,2022-07-17T00:00:00.000+00:00
Norway,4670,2022-10-19T22:00:00.000+00:00,
Iceland,4443,2022-04-09T00:00:00.000+00:00,2022-12-29T00:00:00.000+00:00
Philippines,4838,2022-11-25T00:00:00.000+00:00,
France,4807,2022-12-20T00:00:00.000+00:00,2022-12-28T00:00:00.000+00:00
Niger,4802,2022-12-14T00:00:00.000+00:00,
Netherlands,4051,2021-10-25T00:00:00.000+00:00,
Hong Kong,4778,2022-12-05T00:00:00.000+00:00,2022-12-05T00:00:00.000+00:00
Canada,4438,2022-04-03T00:00:00.000+00:00,
Ireland,4636,2022-09-19T00:00:00.000+00:00,2022-12-20T00:00:00.000+00:00
Russia,4651,2022-10-09T00:00:00.000+00:00,2022-11-21T00:00:00.000+00:00
Ireland,4724,2022-11-12T00:00:00.000+00:00,2022-11-22T00:00:00.000+00:00
Poland,4794,2022-12-19T00:00:00.000+00:00,
Estonia,3756,2021-05-18T00:00:00.000+00:00,2022-03-23T00:00:00.000+00:00
Luxembourg,4119,2021-11-27T00:00:00.000+00:00,
Denmark,4711,2022-11-07T23:00:00.000+00:00,2022-11-12T00:00:00.000+00:00
Germany,4779,2022-12-02T00:00:00.000+00:00,
Italy,4625,2022-09-21T00:00:00.000+00:00,2022-12-30T00:00:00.000+00:00
Russia,4771,2022-12-01T21:00:00.000+00:00,
Russia,4568,2022-07-27T00:00:00.000+00:00,2022-10-03T21:00:00.000+00:00
Cyprus,4768,2022-11-24T00:00:00.000+00:00,
Venezuela,4760,2022-11-17T04:00:00.000+00:00,
Germany,4233,2022-01-04T00:00:00.000+00:00,
Hong Kong,4726,2022-11-09T00:00:00.000+00:00,2022-11-23T00:00:00.000+00:00
Portugal,4744,2022-11-15T00:00:00.000+00:00,2022-11-21T00:00:00.000+00:00
Moldova,4718,2022-11-11T00:00:00.000+00:00,2022-12-29T00:00:00.000+00:00
Korea (Rep. of),4067,2021-11-08T00:00:00.000+00:00,
Finland,4243,2021-12-25T00:00:00.000+00:00,2022-08-16T00:00:00.000+00:00
