location,longitude,latitude,start,end,epiUnit,eventID,animal type,outbreakNumber,species,death,cases
Komsomol'skaya,136.920542,50.590526,10/22/2022,3/5/2023,Farm,4690,domestic,108372,Birds,381314,381314
Kiskunmajsa,19.727489,46.537062,3/4/2023,3/6/2023,Farm,4693,domestic,115578,Birds,66,66
Jászszentlászló,19.790439,46.551046,2/13/2023,2/16/2023,Farm,4693,domestic,114273,Birds,0,0
Bócsa,19.545341,46.635031,2/28/2023,3/2/2023,Farm,4693,domestic,115295,Birds,1095,1095
Csólyospálos,19.84423,46.43207,11/25/2022,12/29/2022,Farm,4693,domestic,110002,Birds,465,465
Bócsa,19.462954,46.598273,3/2/2023,12/31/1969,Farm,4693,domestic,115574,Birds,212,212
Bócsa,19.439083,46.614164,3/7/2023,12/31/1969,Farm,4693,domestic,115579,Birds,0,0
Bócsa,19.533666,46.631954,3/4/2023,12/31/1969,Farm,4693,domestic,115577,Birds,0,0
Bugac,19.663231,46.675382,3/4/2023,12/31/1969,Farm,4693,domestic,115576,Birds,0,0
Bugacpusztaháza,19.650317,46.698392,3/3/2023,12/31/1969,Farm,4693,domestic,115575,Birds,0,0
Bócsa,19.530675,46.609697,3/1/2023,3/3/2023,Farm,4693,domestic,115296,Birds,1081,1081
Kiskunmajsa,19.723605,46.550029,2/27/2023,3/8/2023,Farm,4693,domestic,114994,Birds,21,21
Bócsa,19.444349,46.616224,2/26/2023,3/2/2023,Farm,4693,domestic,114993,Birds,0,0
Bócsa,19.538858,46.607374,2/25/2023,2/28/2023,Farm,4693,domestic,114992,Birds,0,0
Bócsa,19.532421,46.641252,2/24/2023,2/27/2023,Farm,4693,domestic,114990,Birds,0,0
Kiskunfélegyháza,19.858434,46.765936,2/23/2023,2/24/2023,Farm,4693,domestic,114977,Birds,43,43
Szank,19.6824,46.57088,2/19/2023,2/19/2023,Farm,4693,domestic,114974,Birds,74,74
Szank,19.692088,46.569793,2/17/2023,2/20/2023,Farm,4693,domestic,114278,Birds,0,0
Tázlár,19.486939,46.57233,2/16/2023,2/17/2023,Farm,4693,domestic,114274,Birds,0,0
Tázlár,19.521271,46.55637,2/16/2023,2/17/2023,Farm,4693,domestic,114275,Birds,43,43
Szank,19.663297,46.561767,2/16/2023,2/19/2023,Farm,4693,domestic,114277,Birds,0,0
